,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Total_Stops,Price,Month,Day,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Total_Duration_hr
57,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,7414,6,3,7,5,9,20,2.25
58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,8073,6,5,19,0,1,30,6.5
59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1.0,12395,6,3,15,40,16,45,25.08
60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,8366,6,6,9,25,21,50,12.42
61,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5117,3,4,6,5,9,25,27.33
62,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12524,3,6,8,45,19,0,10.25
63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,7191,5,15,15,0,1,30,10.5
64,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,3687,5,24,7,5,9,20,2.25
65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5894,6,24,10,35,21,0,10.42
66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,5403,4,24,9,45,12,35,2.83
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,3625,6,5,13,55,15,25,1.5
68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,10861,5,21,5,55,19,15,13.33
69,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,6297,12,3,13,20,15,35,2.25
70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,5678,1,6,7,5,8,30,1.42
71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,9134,9,3,5,45,8,15,26.5
72,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10791,6,24,11,40,19,0,7.33
73,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,12819,6,24,23,5,12,35,13.5
74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,6893,3,21,5,5,10,5,5.0
75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,7240,9,3,9,50,12,35,2.75
76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3898,3,4,11,40,14,30,2.83
77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,4049,3,4,6,25,7,55,1.5
78,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10262,6,15,17,30,12,35,19.08
79,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3332,3,21,8,20,10,35,2.25
80,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,10844,9,6,21,10,12,0,14.83
81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7229,3,24,19,55,22,35,2.67
82,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,13941,6,5,6,30,4,40,22.17
83,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5894,6,27,11,25,21,0,9.58
84,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10197,5,18,9,0,19,0,10.0
85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,13712,6,3,14,5,11,25,21.33
86,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5636,6,24,2,0,7,25,5.42
87,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13014,6,6,9,40,4,25,18.75
88,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,7064,1,4,8,25,20,45,12.33
89,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,10703,5,24,20,25,14,25,18.0
90,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,9646,5,27,13,15,22,30,9.25
91,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,17057,6,3,2,15,13,20,11.08
92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,13817,12,3,16,55,10,25,17.5
93,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13748,6,3,5,55,19,15,13.33
94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4880,4,21,20,45,23,20,2.58
95,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3540,6,21,5,15,7,40,2.42
96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3257,5,15,5,55,8,35,2.67
97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6478,3,6,19,50,22,50,3.0
98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,8040,6,18,7,5,8,30,1.42
99,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,14300,12,6,20,0,12,35,16.58
100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,14781,5,15,8,25,20,45,12.33
101,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,14939,9,6,20,0,8,15,12.25
102,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10262,6,24,20,55,4,25,7.5
103,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,6528,12,5,14,35,14,35,24.0
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6121,1,5,6,10,8,55,2.75
105,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13029,5,18,19,30,4,25,8.92
106,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,11421,3,27,11,40,18,50,7.17
107,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,7574,3,27,4,45,19,15,14.5
108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,11596,9,5,12,55,19,15,30.33
109,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,15129,5,24,23,5,19,0,19.92
110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,13555,3,18,14,5,5,5,15.0
111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,5780,12,4,18,55,21,50,2.92
112,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,9397,12,5,20,20,9,5,12.75
113,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,17024,6,3,18,15,4,25,10.17
114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5281,6,27,7,0,12,55,5.92
115,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10348,5,18,7,5,22,30,15.42
116,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12677,6,3,17,20,9,25,16.08
117,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,15147,3,3,15,25,1,35,10.17
118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,4668,12,6,7,0,9,40,2.67
119,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,15554,9,5,7,5,19,0,11.92
120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3971,9,4,5,55,8,35,2.67
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,3100,3,5,15,0,16,25,1.42
122,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9663,6,5,20,0,10,5,14.08
123,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,27430,1,3,23,0,19,15,20.25
124,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3540,12,5,5,15,7,40,2.42
125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,10676,5,21,12,0,11,10,23.17
126,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,13044,12,6,14,5,8,15,18.17
127,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,14388,6,5,20,0,12,0,16.0
128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3943,6,24,4,0,6,50,2.83
129,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3597,3,6,14,45,17,5,2.33
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,5932,3,21,11,50,19,50,8.0
131,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10262,6,15,11,30,4,25,16.92
132,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,6216,12,5,14,40,17,50,3.17
133,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4804,6,15,20,25,23,10,2.75
134,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,14067,5,21,11,30,1,30,14.0
135,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,15129,5,18,19,10,19,0,23.83
136,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13376,6,6,6,45,4,25,21.67
137,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,10441,6,27,22,0,19,15,21.25
138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,4030,5,24,6,0,8,45,2.75
139,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,17024,3,3,8,0,18,50,10.83
140,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,13017,9,4,17,30,1,30,8.0
141,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,6686,6,6,23,30,7,45,8.25
142,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5636,6,15,2,0,7,25,5.42
143,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,6442,9,6,7,35,16,10,8.58
144,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,9486,5,21,13,5,0,55,11.83
145,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,10844,5,21,20,0,23,35,27.58
146,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,15318,3,6,20,0,4,25,8.42
147,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5117,3,4,12,30,9,25,20.92
148,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,6147,6,24,15,10,20,0,4.83
149,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,7005,9,6,12,50,21,0,8.17
150,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3873,3,4,22,20,0,40,2.33
151,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,9270,3,21,18,25,18,50,24.42
152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3898,6,27,11,40,14,30,2.83
153,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,14781,12,5,8,25,20,45,12.33
154,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,8586,5,24,20,0,8,15,12.25
155,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,10697,9,5,8,20,7,55,23.58
156,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,14300,6,27,20,0,12,35,16.58
157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8855,3,3,18,55,21,45,2.83
158,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,10844,12,5,16,30,18,15,25.75
159,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,17024,6,3,2,15,4,25,26.17
160,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9314,1,5,9,35,14,25,28.83
161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4777,3,24,0,40,3,25,2.75
162,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,7662,9,6,12,0,13,15,25.25
163,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,6442,9,5,6,50,16,10,9.33
164,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5264,12,6,8,45,13,15,4.5
165,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12898,5,27,13,0,4,25,15.42
166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,6092,3,3,13,55,15,25,1.5
167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3311,5,21,5,55,8,35,2.67
168,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,6540,3,27,19,15,4,25,9.17
169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3419,5,27,1,30,4,15,2.75
170,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5177,3,4,14,0,12,35,22.58
171,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,8246,4,18,18,5,21,10,3.08
172,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,14676,9,6,9,35,21,5,11.5
173,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,13587,6,27,11,30,21,0,9.5
174,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9663,6,5,21,10,9,20,12.17
175,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,13044,12,6,16,30,10,5,17.58
176,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5073,3,4,20,25,1,30,5.08
177,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,9345,5,21,17,0,18,50,25.83
178,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9663,6,5,14,5,10,5,20.0
179,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,14277,5,21,8,0,21,0,13.0
180,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10262,1,6,10,0,4,25,18.42
181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,5678,3,27,19,35,21,5,1.5
182,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,13727,5,15,16,0,1,30,9.5
183,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9663,6,5,20,0,12,0,16.0
184,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3858,12,5,14,45,17,5,2.33
185,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,4812,6,24,8,45,13,15,4.5
186,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5775,6,27,21,50,3,35,5.75
187,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,10539,6,6,9,35,9,45,24.17
188,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4804,3,6,15,30,18,5,2.58
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3383,12,6,11,10,13,55,2.75
190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,8738,3,3,12,10,17,5,4.92
191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,7165,3,27,5,15,6,50,25.58
192,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,6412,6,24,16,10,22,30,6.33
193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,8016,6,27,18,55,22,0,3.08
194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,11087,12,3,20,35,15,15,18.67
195,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3543,6,27,9,45,12,0,2.25
196,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,12471,12,6,16,30,4,40,12.17
197,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10262,6,24,9,0,4,25,19.42
198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4441,3,18,13,20,16,10,2.83
199,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12537,3,27,7,5,15,30,8.42
200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,10091,3,24,22,25,7,40,9.25
201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,6961,3,6,21,5,23,55,2.83
202,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,5013,4,24,5,35,8,50,3.25
203,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,6934,5,18,5,10,8,0,2.83
204,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10877,3,6,6,40,19,0,12.33
205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7229,4,18,15,15,18,10,2.92
206,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,7048,3,27,16,0,1,35,9.58
207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,4878,6,27,17,0,19,35,2.58
